S/N,Order,Family,Scientific Name,Common Name,RDB2 Status,RDB3 Status
1,Gymnophiona,Icthyophiidae,Icthyophis sp.,Asian Striped Caecilian,CR,CR
2,Anura,Bufonidae,Duttaphrynus melanostictus,Asian Toad,Not Listed,LC
3,Anura,Bufonidae,Ingerophrynus quadriporcatus,Four-ridged Toad,Not Listed,VU
4,Anura,Bufonidae,Pelophryne ingeri,Inger's Cross Toadlet,CR,CR
5,Anura,Megophryidae,Megophrys nasuta,Malayan Horned Frog,EN,CR
6,Anura,Megophryidae,Leptobrachium nigrops,Black-eyed Litter Frog,Not Listed,NT
7,Anura,Dicroglossidae,Fejervarya limnocharis,Field Frog,Not Listed,LC
8,Anura,Dicroglossidae,Fejervarya cancrivora,Crab-eating Frog,Not Listed,LC
9,Anura,Dicroglossidae,Limnonectes blythii,Malayan Giant Frog,Not Listed,LC
10,Anura,Dicroglossidae,Limnonectes paramacrodon,Lesser Swamp Frog,EN,CR
11,Anura,Dicroglossidae,Limnonectes plicatellus,Rhinoceros Frog,EN,CR
12,Anura,Dicroglossidae,Limnonectes malesianus,Malesian Frog,Not Listed,NT
13,Anura,Dicroglossidae,Occidozyga sumatrana,Yellow-bellied Puddle Frog,Not Listed,NT
14,Anura,Ranidae,Hylarana erythraea,Common Greenback,Not Listed,LC
15,Anura,Ranidae,Chalcorana labialis,Copper-cheeked Frog,Not Listed,LC
16,Anura,Ranidae,Pulchrana laterimaculata,Masked Rough-sided Frog,Not Listed,NT
17,Anura,Ranidae,Pulchrana baramica,Golden-eared Rough-sided Frog,VU,VU
18,Anura,Rhacophoridae,Polypedates leucomystax,Common Tree Frog,Not Listed,LC
19,Anura,Rhacophoridae,Nyctixalus pictus,Cinnamon Bush Frog,VU,VU
20,Anura,Rhacophoridae,Rhacophorus cyanopunctatus,Blue-legged Bush Frog,CR,CR
21,Anura,Rhacophoridae,Theloderma horridum,Thorny Bush Frog,CR,CR
22,Anura,Microhylidae,Kalophrynus limbooliati,Limbooliat's Sticky Frog,VU,VU
23,Anura,Microhylidae,Micryletta sp.,Inornate Chorus Frog,Not Listed,DD
24,Anura,Microhylidae,Microhyla butleri,Painted Chorus Frog,Not Listed,LC
25,Anura,Microhylidae,Microhyla heymonsi,Dark-sided Chorus Frog,Not Listed,LC
26,Anura,Microhylidae,Microhyla mantheyi,Manthey's Chorus Frog,CR,VU